node_a,node_b,datetime
1336,1337,2009-06-29 08:00:20
1336,1337,2009-06-29 08:00:40
1336,1337,2009-06-29 08:01:00
1336,1337,2009-06-29 08:01:20
1336,1337,2009-06-29 08:01:40
1336,1337,2009-06-29 08:02:00
1336,1337,2009-06-29 08:02:20
1336,1337,2009-06-29 08:02:40
1336,1337,2009-06-29 08:03:00
1336,1337,2009-06-29 08:03:20
1336,1337,2009-06-29 08:03:40
1336,1337,2009-06-29 08:04:00
1336,1337,2009-06-29 08:04:20
1336,1337,2009-06-29 08:04:40
1336,1337,2009-06-29 08:05:00
1336,1337,2009-06-29 08:05:20
1336,1337,2009-06-29 08:05:40
1336,1337,2009-06-29 08:06:00
1336,1337,2009-06-29 08:06:20
1336,1337,2009-06-29 08:06:40
1336,1337,2009-06-29 08:07:00
1336,1337,2009-06-29 08:07:20
1336,1337,2009-06-29 08:07:40
1336,1337,2009-06-29 08:08:00
1336,1337,2009-06-29 08:08:20
1336,1337,2009-06-29 08:08:40
1336,1337,2009-06-29 08:09:00
1336,1337,2009-06-29 08:09:20
1336,1337,2009-06-29 08:09:40
1336,1337,2009-06-29 08:10:00
1336,1337,2009-06-29 08:10:20
1336,1337,2009-06-29 08:10:40
1336,1337,2009-06-29 08:11:00
1336,1337,2009-06-29 08:11:20
1336,1337,2009-06-29 08:11:40
1336,1337,2009-06-29 08:12:00
1336,1337,2009-06-29 08:12:20
1336,1337,2009-06-29 08:12:40
1336,1337,2009-06-29 08:13:00
1336,1337,2009-06-29 08:13:20
1336,1337,2009-06-29 08:13:40
1336,1337,2009-06-29 08:14:00
1336,1337,2009-06-29 08:14:20
1336,1337,2009-06-29 08:14:40
1336,1337,2009-06-29 08:15:00
1336,1337,2009-06-29 08:15:20
1336,1337,2009-06-29 08:15:40
1336,1337,2009-06-29 08:16:00
1336,1337,2009-06-29 08:16:20
1336,1337,2009-06-29 08:16:40
1336,1337,2009-06-29 08:17:00
1336,1337,2009-06-29 08:17:20
1336,1337,2009-06-29 08:17:40
1336,1337,2009-06-29 08:18:00
1336,1337,2009-06-29 08:18:20
1336,1337,2009-06-29 08:18:40
1336,1337,2009-06-29 08:19:00
1336,1337,2009-06-29 08:19:20
1336,1337,2009-06-29 08:19:40
1336,1337,2009-06-29 08:20:00
1336,1337,2009-06-29 08:20:20
1336,1337,2009-06-29 08:20:40
1336,1337,2009-06-29 08:21:00
1336,1337,2009-06-29 08:21:20
1336,1337,2009-06-29 08:21:40
1336,1337,2009-06-29 08:22:00
1336,1337,2009-06-29 08:22:20
1336,1337,2009-06-29 08:22:40
1336,1337,2009-06-29 08:23:00
1336,1337,2009-06-29 08:23:20
1336,1337,2009-06-29 08:23:40
1336,1337,2009-06-29 08:24:00
1336,1337,2009-06-29 08:24:20
1336,1337,2009-06-29 08:24:40
1336,1337,2009-06-29 08:25:00
1336,1337,2009-06-29 08:25:20
1336,1337,2009-06-29 08:25:40
1336,1337,2009-06-29 08:26:00
1336,1337,2009-06-29 08:26:20
1336,1337,2009-06-29 08:26:40
1336,1337,2009-06-29 08:27:00
1336,1337,2009-06-29 08:27:20
1336,1337,2009-06-29 08:27:40
1336,1337,2009-06-29 08:28:00
1336,1337,2009-06-29 08:28:20
1336,1337,2009-06-29 08:28:40
1336,1337,2009-06-29 08:29:00
1336,1337,2009-06-29 08:29:20
1336,1337,2009-06-29 08:29:40
1336,1337,2009-06-29 08:30:00
1336,1337,2009-06-29 08:32:00
1336,1337,2009-06-29 08:32:20
1336,1337,2009-06-29 08:32:40
1336,1337,2009-06-29 08:33:00
1336,1337,2009-06-29 08:33:20
1336,1337,2009-06-29 08:33:40
1336,1337,2009-06-29 08:34:00
1336,1337,2009-06-29 08:34:20
1336,1337,2009-06-29 08:34:40
1336,1337,2009-06-29 08:35:00
1337,1336,2009-06-29 08:35:20
1080,1125,2009-06-29 08:35:40
1336,1337,2009-06-29 08:35:40
1336,1337,2009-06-29 08:36:00
1336,1337,2009-06-29 08:36:20
1337,1336,2009-06-29 08:36:40
1336,1337,2009-06-29 08:37:00
1336,1337,2009-06-29 08:37:20
1337,1336,2009-06-29 08:37:40
1336,1337,2009-06-29 08:38:00
1336,1337,2009-06-29 08:38:20
1336,1337,2009-06-29 08:38:40
1336,1337,2009-06-29 08:39:00
1336,1337,2009-06-29 08:39:20
1336,1337,2009-06-29 08:39:40
1336,1337,2009-06-29 08:40:00
1336,1337,2009-06-29 08:40:20
1336,1337,2009-06-29 08:40:40
1336,1337,2009-06-29 08:41:00
1336,1337,2009-06-29 08:41:20
1336,1337,2009-06-29 08:41:40
1336,1337,2009-06-29 08:42:00
1336,1337,2009-06-29 08:42:20
1336,1337,2009-06-29 08:42:40
1336,1337,2009-06-29 08:43:00
1336,1337,2009-06-29 08:43:20
1337,1336,2009-06-29 08:43:40
1336,1337,2009-06-29 08:44:00
1336,1337,2009-06-29 08:44:20
1336,1337,2009-06-29 08:44:40
1336,1337,2009-06-29 08:45:00
1336,1337,2009-06-29 08:45:20
1336,1337,2009-06-29 08:45:40
1336,1337,2009-06-29 08:46:00
1336,1337,2009-06-29 08:46:20
1336,1337,2009-06-29 08:46:40
1336,1337,2009-06-29 08:47:00
1336,1337,2009-06-29 08:47:20
1336,1337,2009-06-29 08:47:40
1336,1337,2009-06-29 08:48:00
1337,1336,2009-06-29 08:48:20
1336,1337,2009-06-29 08:48:40
1336,1337,2009-06-29 08:49:00
1336,1337,2009-06-29 08:49:20
1336,1337,2009-06-29 08:49:40
1336,1337,2009-06-29 08:50:00
1336,1337,2009-06-29 08:50:20
1336,1337,2009-06-29 08:50:40
1336,1337,2009-06-29 08:51:00
1336,1337,2009-06-29 08:51:20
1336,1337,2009-06-29 08:51:40
1336,1337,2009-06-29 08:52:00
1336,1337,2009-06-29 08:52:20
1336,1337,2009-06-29 08:52:40
1336,1337,2009-06-29 08:53:00
1336,1337,2009-06-29 08:53:20
1336,1337,2009-06-29 08:53:40
1336,1337,2009-06-29 08:54:00
1336,1337,2009-06-29 08:54:20
1336,1337,2009-06-29 08:54:40
1336,1337,2009-06-29 08:55:00
1336,1337,2009-06-29 08:55:20
1336,1337,2009-06-29 08:55:40
1336,1337,2009-06-29 08:56:00
1336,1337,2009-06-29 08:56:20
1336,1337,2009-06-29 08:56:40
1336,1337,2009-06-29 08:57:00
1336,1337,2009-06-29 08:57:20
1336,1337,2009-06-29 08:57:40
1336,1337,2009-06-29 08:58:00
1336,1337,2009-06-29 08:58:20
1336,1337,2009-06-29 08:58:40
1337,1336,2009-06-29 08:59:00
1336,1337,2009-06-29 08:59:20
1336,1337,2009-06-29 08:59:40
1336,1337,2009-06-29 09:00:00
1336,1337,2009-06-29 09:00:20
1336,1337,2009-06-29 09:00:40
1336,1337,2009-06-29 09:01:00
1336,1337,2009-06-29 09:01:20
1336,1337,2009-06-29 09:01:40
1080,1125,2009-06-29 09:01:40
1336,1337,2009-06-29 09:02:00
1080,1125,2009-06-29 09:02:00
1080,1125,2009-06-29 09:02:20
1337,1336,2009-06-29 09:02:20
1336,1337,2009-06-29 09:02:40
1336,1337,2009-06-29 09:03:00
1336,1337,2009-06-29 09:03:20
1336,1337,2009-06-29 09:03:40
1125,1080,2009-06-29 09:03:40
1336,1337,2009-06-29 09:04:00
1080,1125,2009-06-29 09:04:20
1336,1337,2009-06-29 09:04:20
1336,1337,2009-06-29 09:04:40
1125,1080,2009-06-29 09:04:40
1080,1125,2009-06-29 09:05:00
1337,1336,2009-06-29 09:05:00
1336,1337,2009-06-29 09:05:20
1336,1337,2009-06-29 09:05:40
1337,1336,2009-06-29 09:06:00
1337,1336,2009-06-29 09:06:20
1336,1337,2009-06-29 09:06:40
1336,1337,2009-06-29 09:07:00
1336,1125,2009-06-29 09:07:00
1125,1337,2009-06-29 09:07:00
1336,1337,2009-06-29 09:07:20
1336,1080,2009-06-29 09:07:40
1336,1337,2009-06-29 09:07:40
1336,1080,2009-06-29 09:08:00
1336,1337,2009-06-29 09:08:00
1336,1337,2009-06-29 09:08:20
1336,1337,2009-06-29 09:08:40
1336,1337,2009-06-29 09:09:00
1337,1080,2009-06-29 09:09:00
1080,1336,2009-06-29 09:09:20
1336,1337,2009-06-29 09:09:20
1080,1336,2009-06-29 09:09:40
1080,1337,2009-06-29 09:09:40
1337,1336,2009-06-29 09:09:40
1336,1080,2009-06-29 09:10:00
1336,1337,2009-06-29 09:10:00
1080,1337,2009-06-29 09:10:00
1336,1080,2009-06-29 09:10:20
1336,1337,2009-06-29 09:10:20
1337,1336,2009-06-29 09:10:40
1080,1336,2009-06-29 09:11:00
1080,1337,2009-06-29 09:11:00
1337,1336,2009-06-29 09:11:00
1336,1080,2009-06-29 09:11:20
1080,1336,2009-06-29 09:11:40
1337,1125,2009-06-29 09:12:00
1337,1125,2009-06-29 09:12:20
1336,1080,2009-06-29 09:13:00
1337,1080,2009-06-29 09:13:00
1080,1336,2009-06-29 09:13:20
1080,1053,2009-06-29 09:13:20
1080,1336,2009-06-29 09:13:40
1080,1125,2009-06-29 09:13:40
1080,1336,2009-06-29 09:14:00
1080,1125,2009-06-29 09:14:00
1080,1053,2009-06-29 09:14:00
1336,1080,2009-06-29 09:14:20
1080,1336,2009-06-29 09:15:00
1125,1073,2009-06-29 09:15:20
1073,1080,2009-06-29 09:15:20
