time,node_a,node_b,status_a,status_b,datetime
140,1157,1232,MED,ADM,2010-12-06 13:02:20
160,1157,1191,MED,MED,2010-12-06 13:02:40
500,1157,1159,MED,MED,2010-12-06 13:08:20
520,1157,1159,MED,MED,2010-12-06 13:08:40
560,1159,1191,MED,MED,2010-12-06 13:09:20
580,1159,1191,MED,MED,2010-12-06 13:09:40
600,1159,1191,MED,MED,2010-12-06 13:10:00
620,1159,1191,MED,MED,2010-12-06 13:10:20
680,1159,1191,MED,MED,2010-12-06 13:11:20
680,1144,1159,MED,MED,2010-12-06 13:11:20
700,1144,1191,MED,MED,2010-12-06 13:11:40
720,1144,1191,MED,MED,2010-12-06 13:12:00
740,1144,1191,MED,MED,2010-12-06 13:12:20
760,1144,1191,MED,MED,2010-12-06 13:12:40
780,1144,1191,MED,MED,2010-12-06 13:13:00
800,1144,1191,MED,MED,2010-12-06 13:13:20
820,1144,1191,MED,MED,2010-12-06 13:13:40
840,1144,1191,MED,MED,2010-12-06 13:14:00
860,1144,1191,MED,MED,2010-12-06 13:14:20
880,1144,1191,MED,MED,2010-12-06 13:14:40
900,1144,1191,MED,MED,2010-12-06 13:15:00
920,1157,1159,MED,MED,2010-12-06 13:15:20
920,1144,1191,MED,MED,2010-12-06 13:15:20
920,1144,1159,MED,MED,2010-12-06 13:15:20
940,1157,1159,MED,MED,2010-12-06 13:15:40
940,1144,1159,MED,MED,2010-12-06 13:15:40
960,1157,1159,MED,MED,2010-12-06 13:16:00
960,1144,1159,MED,MED,2010-12-06 13:16:00
980,1144,1159,MED,MED,2010-12-06 13:16:20
1800,1152,1191,MED,MED,2010-12-06 13:30:00
1820,1152,1191,MED,MED,2010-12-06 13:30:20
1840,1152,1191,MED,MED,2010-12-06 13:30:40
2260,1105,1295,NUR,NUR,2010-12-06 13:37:40
2340,1105,1295,NUR,NUR,2010-12-06 13:39:00
2420,1157,1191,MED,MED,2010-12-06 13:40:20
2440,1157,1191,MED,MED,2010-12-06 13:40:40
2480,1157,1191,MED,MED,2010-12-06 13:41:20
2580,1105,1295,NUR,NUR,2010-12-06 13:43:00
2620,1105,1295,NUR,NUR,2010-12-06 13:43:40
2700,1109,1295,NUR,NUR,2010-12-06 13:45:00
2720,1105,1295,NUR,NUR,2010-12-06 13:45:20
2900,1105,1114,NUR,NUR,2010-12-06 13:48:20
3200,1105,1295,NUR,NUR,2010-12-06 13:53:20
3720,1109,1115,NUR,NUR,2010-12-06 14:02:00
3740,1109,1115,NUR,NUR,2010-12-06 14:02:20
3760,1109,1295,NUR,NUR,2010-12-06 14:02:40
3980,1098,1181,ADM,NUR,2010-12-06 14:06:20
4020,1105,1109,NUR,NUR,2010-12-06 14:07:00
4020,1105,1295,NUR,NUR,2010-12-06 14:07:00
4080,1098,1164,ADM,NUR,2010-12-06 14:08:00
4160,1105,1295,NUR,NUR,2010-12-06 14:09:20
4160,1116,1164,NUR,NUR,2010-12-06 14:09:20
4180,1164,1295,NUR,NUR,2010-12-06 14:09:40
4180,1232,1295,ADM,NUR,2010-12-06 14:09:40
4180,1105,1295,NUR,NUR,2010-12-06 14:09:40
4180,1109,1164,NUR,NUR,2010-12-06 14:09:40
4180,1116,1164,NUR,NUR,2010-12-06 14:09:40
4180,1116,1295,NUR,NUR,2010-12-06 14:09:40
4200,1109,1232,NUR,ADM,2010-12-06 14:10:00
4200,1116,1164,NUR,NUR,2010-12-06 14:10:00
4220,1109,1232,NUR,ADM,2010-12-06 14:10:20
4240,1114,1295,NUR,NUR,2010-12-06 14:10:40
4240,1193,1232,NUR,ADM,2010-12-06 14:10:40
4240,1109,1232,NUR,ADM,2010-12-06 14:10:40
4240,1116,1164,NUR,NUR,2010-12-06 14:10:40
4260,1109,1193,NUR,NUR,2010-12-06 14:11:00
4260,1193,1295,NUR,NUR,2010-12-06 14:11:00
4280,1142,1149,NUR,NUR,2010-12-06 14:11:20
