time,node_a,node_b,datetime
28820,492,938,2013-06-24 08:00:20
28860,267,272,2013-06-24 08:01:00
29300,181,826,2013-06-24 08:08:20
29780,79,181,2013-06-24 08:16:20
30000,150,196,2013-06-24 08:20:00
30020,21,150,2013-06-24 08:20:20
30060,21,205,2013-06-24 08:21:00
30060,21,150,2013-06-24 08:21:00
30060,448,826,2013-06-24 08:21:00
30060,765,826,2013-06-24 08:21:00
30280,39,253,2013-06-24 08:24:40
30280,80,253,2013-06-24 08:24:40
30360,123,845,2013-06-24 08:26:00
30380,118,311,2013-06-24 08:26:20
30380,95,118,2013-06-24 08:26:20
30380,80,95,2013-06-24 08:26:20
30380,123,845,2013-06-24 08:26:20
30380,95,311,2013-06-24 08:26:20
30400,118,311,2013-06-24 08:26:40
30400,80,118,2013-06-24 08:26:40
30400,95,118,2013-06-24 08:26:40
30400,123,845,2013-06-24 08:26:40
30400,95,311,2013-06-24 08:26:40
30420,118,311,2013-06-24 08:27:00
30420,95,118,2013-06-24 08:27:00
30420,95,311,2013-06-24 08:27:00
30420,123,845,2013-06-24 08:27:00
30440,118,311,2013-06-24 08:27:20
30440,118,771,2013-06-24 08:27:20
30440,95,771,2013-06-24 08:27:20
30440,311,771,2013-06-24 08:27:20
30440,95,118,2013-06-24 08:27:20
30440,123,845,2013-06-24 08:27:20
30440,95,311,2013-06-24 08:27:20
30460,118,311,2013-06-24 08:27:40
30460,21,205,2013-06-24 08:27:40
30460,95,771,2013-06-24 08:27:40
30460,95,118,2013-06-24 08:27:40
30460,123,845,2013-06-24 08:27:40
30460,95,311,2013-06-24 08:27:40
30460,118,771,2013-06-24 08:27:40
30480,118,311,2013-06-24 08:28:00
30480,95,771,2013-06-24 08:28:00
30480,95,118,2013-06-24 08:28:00
30480,123,845,2013-06-24 08:28:00
30480,95,311,2013-06-24 08:28:00
30500,123,845,2013-06-24 08:28:20
30520,123,845,2013-06-24 08:28:40
30520,153,205,2013-06-24 08:28:40
30540,123,845,2013-06-24 08:29:00
30560,123,845,2013-06-24 08:29:20
30560,164,311,2013-06-24 08:29:20
30580,123,845,2013-06-24 08:29:40
30640,21,179,2013-06-24 08:30:40
30640,123,845,2013-06-24 08:30:40
30720,311,481,2013-06-24 08:32:00
31220,79,122,2013-06-24 08:40:20
31560,39,120,2013-06-24 08:46:00
31580,39,120,2013-06-24 08:46:20
31620,39,120,2013-06-24 08:47:00
31640,39,120,2013-06-24 08:47:20
31680,39,120,2013-06-24 08:48:00
31700,39,120,2013-06-24 08:48:20
31840,122,448,2013-06-24 08:50:40
31860,122,448,2013-06-24 08:51:00
31880,122,448,2013-06-24 08:51:20
31900,122,448,2013-06-24 08:51:40
31900,21,150,2013-06-24 08:51:40
32020,39,120,2013-06-24 08:53:40
32040,39,120,2013-06-24 08:54:00
32060,39,120,2013-06-24 08:54:20
32080,39,120,2013-06-24 08:54:40
32100,39,120,2013-06-24 08:55:00
32200,39,120,2013-06-24 08:56:40
32260,39,120,2013-06-24 08:57:40
32280,39,120,2013-06-24 08:58:00
32300,39,120,2013-06-24 08:58:20
32300,21,150,2013-06-24 08:58:20
32320,39,120,2013-06-24 08:58:40
32340,39,120,2013-06-24 08:59:00
32360,120,819,2013-06-24 08:59:20
33300,431,778,2013-06-24 09:15:00
33340,271,601,2013-06-24 09:15:40
33400,431,778,2013-06-24 09:16:40
33480,431,778,2013-06-24 09:18:00
33560,431,778,2013-06-24 09:19:20
33560,15,95,2013-06-24 09:19:20
33660,56,194,2013-06-24 09:21:00
33680,56,194,2013-06-24 09:21:20
33720,194,786,2013-06-24 09:22:00
33720,194,311,2013-06-24 09:22:00
33740,311,786,2013-06-24 09:22:20
33760,311,786,2013-06-24 09:22:40
33780,194,786,2013-06-24 09:23:00
33800,194,786,2013-06-24 09:23:20
33800,194,311,2013-06-24 09:23:20
33820,311,786,2013-06-24 09:23:40
33820,194,786,2013-06-24 09:23:40
33840,311,786,2013-06-24 09:24:00
33860,311,786,2013-06-24 09:24:20
33860,194,786,2013-06-24 09:24:20
33880,194,786,2013-06-24 09:24:40
33960,194,786,2013-06-24 09:26:00
